Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,review_text,proportion_of_emotional_content_in_review,proportion_of_adjectives_in_review,readability_of_review,analytic_writing_style,label,ebm_prediction,mis_classified,model_pred_confidence,stage,review_set
157,,157,17,"""The Hilton Chicago is a great choice for a stay in the city. The rooms are well-appointed and comfortable, and the staff is friendly and helpful. The location is perfect for exploring the city, and I loved being close to all the best attractions. I would definitely stay here again.""",12.0,12.0,69.481985,82.95,Deceptive,Deceptive,False,0.7017272500264943,2,3
237,,237,254,"""I recently stayed at the Millennium Knickerbocker Hotel Chicago for a business trip and was thoroughly impressed. The rooms were comfortable and well-equipped, and the service was top-notch. The location is also perfect, right in the heart of the city, making it easy to get to all the main attractions. I would definitely stay here again.""",5.36,7.14,59.383017,80.2,Deceptive,Genuine,True,0.6726710463556759,2,3
139,,139,322,"""I had an amazing stay at the Sheraton Chicago Hotel and Towers. The hotel is in a great location, close to all the main attractions and the room was comfortable, clean, and well-appointed. The staff were friendly and attentive, and the hotel's fitness center was a great spot to keep up with my workout routine. I would definitely stay here again.""",11.48,13.11,65.567016,84.31,Deceptive,Deceptive,False,0.9298251714002496,2,3
43,,43,282,"""I had a fantastic stay at the Omni Chicago Hotel. The hotel is in a prime location, close to all the main attractions. The room was luxurious and well-appointed, and the staff were attentive and friendly. The hotel's restaurant and bar were also excellent, offering delicious food and drinks. I would definitely stay here again. The hotel's rooftop terrace was a great spot to relax and take in the views of the city.""",6.85,10.96,66.273423,85.27,Deceptive,Genuine,True,0.8068445072468412,2,3
135,,135,447,"This hotel was great - In a great area right downtown and close to everything. The daily happy hour had great food, wine and premium liquors. The free breakfast was even better! Actually I believe everything was included breakfast/happy hour/business center/WiFi. Our room was a king size facing the back of the building. Really clean new and comfortable. Small touches such as books and cds to enjoy made the room feel less like a hotel - Would highly recommend.",13.75,17.5,70.44999695,78.28,Genuine,Deceptive,True,0.5173278157322934,2,3
228,,228,711,"Just returned from a week in Chicago with the family. This hotel was perfect for us. Location is great, kids loved the pool as a place to wind down after a day of museums, touring, ball games, etc. We checked in through Hilton Honors Desk as opposed to the regular check in line. Even though our reservations were through priceline at a reduced rate, they gave us a pick of the the rooms. The room had a large closet which helped with the amount of gear we had with us. Used valet parking which was hasselfree. We had a great experience and would stay there again.",6.6,4.72,81.62999725,94.65,Genuine,Genuine,False,0.9997396657171472,2,3
260,,260,97,"My stay at the Ambassador East Hotel was excellent! The room was spacious, clean and well-appointed. The staff were friendly and helpful, and the location was perfect for visiting the city. I would highly recommend this hotel to anyone.",15.38,12.82,63.44,68.35,Deceptive,Deceptive,False,0.943570140059445,2,3
176,,176,574,"Stayed over Memorial Weekend for 2 nites, 2 rooms. Great Hotel, we always love breakfast in morning,and drinks in even when applicable. Around the corner from magnificent Mile,and close to lots of restaurants. Staff was great, we even checked in early before noon,and other room available less than hour later. Fresh fruit was available to us,and bell guys are cool. Suites are on small side compared to other homewoods but no complaints here, house cleaning kept our room clean,and we felt safe!",10.34,18.39,67.60399628,64.97,Genuine,Deceptive,True,0.5572177833586461,2,3
251,,251,543,"went to chicago for a week in may, decided to be good to ourselves and stay in the hilton, we were not disapointed. perhaps it was becuse there were quite a few conventions going on and a lot of people were only staying 1 or 2 nights but we got upgraged to exceutive level. we had 2 double beds with a bathroom each. they beds and pillows were too die for, so so comfy ant the end of a day when we seemed to have walked for miles. all the staff were very helpful. a lot of guests seemed to ignore the staff especially the chamber maids who they seemed to think they were in their way so perhaps that why some people felt these people were rude or unhelpful. about 2 blocks away on Harrison is a cafe called ""Orange"" which you have to make the only place you will have breakfast, the cafe and the staff are suberb. expect a 15 min wait on a sat & sun morning.",1.76,2.94,73.76300049,64.21,Genuine,Genuine,False,0.9998311693746214,2,3
295,,295,400,"I was completely blown away by this hotel. It was magnificent. I got a great deal and I am so happy that I stayed here. Before arriving I was nervous as I had read a few bad reviews about the impact the renovation was having on peoples stay, for example very noisy. However, whilst the renovation was still going on and the gym was not open nor the restaurant, it made no difference to me. My room was huge, bathroom was spacious with excellent water pressure, bed was perfect and the view was amazing. Hotel is so close to the great shops of Magnificent Mile, plus a comfortable walking distance to Hancock tower and Millennium Park.",10.34,13.79,64.55400085,32.86,Genuine,Deceptive,True,0.7948981200752111,2,3
130,,130,552,"Stayed at the Chicago Hilton for three nights and from the minute we walked through the door I was very impressed. Check-in was quick, easy and I was very glad that we were able to check in despite being earlier than the advertised check-in time. We were given a twin room with two bathrooms which was brilliant. It made getting ready to go out much quicker! The hotel location is great opposite the park, which is a must see. Although located on South Michigan Ave it is easily within walking distance of all the shops and sights of the whole of Michigan Ave. Would also recommend the street one block back from Michigan Ave for good shopping. For breakfast I would recommend grabbing a muffin, croissant or bagel from the bar just past reception rather than going for the more expensive breakfast in the restaurant. For evening entertainment Kitty O'Sheas is a must. Typical Irish bar with good drinks and live music. Finally the bed at Hilton Chicago is the most comfortable bed ever. I would have taken it home if I could! Definately made for a good nights sleep.",5.76,8.38,68.83000183,86.36,Genuine,Genuine,False,0.9288196868813132,2,3
1,,1,278,"""The Hotel Monaco Chicago exceeded all my expectations. The location is perfect, right in the heart of the city and close to all the main attractions. The room was spacious and comfortable, and the staff were friendly and attentive. I couldn't have asked for a better experience. The hotel's rooftop terrace was a great spot to relax and take in the views of the city.""",9.23,12.31,66.089231,96.67,Deceptive,Genuine,True,0.8928594512371486,2,3
